site,id
MLA,750925229
MLA,845041373
MLA,693105237
MLA,806113846
MLA,655915616
MLA,849015677
MLA,806707270
MLA,823408605
MLA,617061280
MLA,664384760
MLA,840506533
MLA,845906811
MLA,785849983
MLA,799677426
MLA,848479382
MLA,840423199
MLA,828617220
MLA,848355425
MLA,830371755
MLA,817422311
MLA,716231721
MLA,808817242
MLA,707302182
MLA,630239658
MLA,609500365
MLA,723145127
MLA,724839805
MLA,782750723
MLA,786805209
MLA,814323864
MLA,843860595
MLA,847809606
MLA,737212415
MLA,827595664
MLA,737829195
MLA,725116438
MLA,609255349
MLA,806700707
MLA,851879971
MLA,851082070
MLA,770008682
MLA,673642046
MLA,603924637
MLA,686162926
MLA,835239707
MLA,819745375
MLA,807605068
MLA,742439189
MLA,715991583
MLA,779107360
MLA,735750579
MLA,843401574
MLA,727165201
MLA,607119257
MLA,786573311
MLA,739618416
MLA,607438646
MLA,673834860
MLA,851057657
MLA,794540382
MLA,722387381
MLA,799296165
MLA,686664590
MLA,846930047
MLA,612770416
MLA,842712551
MLA,823508214
MLA,847437000
MLA,742313275
MLA,803031611
MLA,764771671
MLA,833851771
MLA,847557520
MLA,725731274
MLA,834135854
MLA,737698476
MLA,690007710
MLA,702063276
MLA,837999540
MLA,834206031
MLA,772873312
MLA,827019955
MLA,710265519
MLA,740990472
MLA,801252734
MLA,799473620
MLA,839806015
MLA,846032215
MLA,775784447
MLA,814703014
MLA,736703886
MLA,828599701
MLA,742004561
MLA,608437127
MLA,838984922
MLA,836336056
MLA,843539059
MLA,606691586
MLA,711759823
MLA,835483361
MLA,609864519
MLA,719992002
MLA,696030721
MLA,827507732
MLA,610021511
MLA,810607762
MLA,847787415
MLA,640352504
MLA,729917075
MLA,825958422
MLA,780681284
MLA,731983038
MLA,806385308
MLA,848254629
MLA,823989335
MLA,850569812
MLA,841755590
MLA,849335390
MLA,651850167
MLA,804075087
MLA,848915557
MLA,832459396
MLA,710690236
MLA,808632141
MLA,717159516
MLA,815158306
MLA,844194860
MLA,604611841
MLA,791716281
MLA,761393457
MLA,830397933
MLA,684767912
MLA,680932331
MLA,729786330
MLA,849544868
MLA,801907741
MLA,835247838
